spend,icac_mean,icac_lo95,icac_hi95,ltv_mean,icac_marginal_mean,icac_marginal_lo95,icac_marginal_hi95
0.0,,,,0.0,,,
592.5323588434783,386.68159345586344,83.31786897407032,11141.372204670255,318.91351444109443,2004.2069159773464,43.23994300166847,4928.94792153683
1185.0647176869566,386.6819830823506,83.31791228543551,11141.376117359941,637.8263845282587,2004.2191846799942,43.24071707548302,4928.947948165488
1777.5970765304348,386.68263245916387,83.31798447101797,11141.38263848501,956.737965917566,2004.2498609940494,43.242652311985594,4928.948014741515
2370.129435373913,386.683541585297,83.31808553079345,11141.391768012656,1275.6476142851234,2004.2928163468553,43.24536174009423,4928.948107946942
2962.6617942173916,386.68471045933086,83.31821546471765,11141.403505894741,1594.5546853371306,2004.348059265479,43.248845456817804,4928.9482277788575
3555.1941530608697,386.6861390794536,83.31837427273742,11141.417852069895,1913.4585348198384,2004.4156007330769,43.253103586888535,4928.948374242258
4147.726511904348,386.6878274434373,83.31856195478704,11141.434806463298,2232.358518529657,2004.4954542036955,43.258136282765975,4928.948547336888
4740.258870747826,386.68977554865035,83.31877851078713,11141.454368986402,2551.2539923231416,2004.5876356208455,43.26394372464157,4928.948747059842
5332.791229591305,386.6919833920722,83.3190239406477,11141.476539536845,2870.1443121269,2004.6921634388293,43.270526120447315,4928.948973413483
5925.323588434783,386.69445097026016,83.31929824426759,11141.50131799841,3189.0288339478166,2004.8090586481624,43.277883705860795,4928.949226397543
6517.855947278261,386.69717827938246,83.31960142153225,11141.528704242,3507.9069138828386,2004.938344804127,43.2860167443151,4928.94950600914
7110.388306121739,386.70016531520105,83.31993347231604,11141.558698124325,3826.777908129097,2005.080048058903,43.29492552700824,4928.949812250642
7702.920664965218,386.70341207305955,83.32029439648004,11141.59129948843,4145.6411729940455,2005.234197197661,43.304610372912315,4928.950145124401
8295.453023808695,386.70691854791426,83.3206841938739,11141.626508164141,4464.496064905168,2005.400823677895,43.315071628786605,4928.950504627552
8887.985382652174,386.71068473431023,83.32110286433645,11141.6643239675,4783.3419404201995,2005.57996167273,43.326309669189314,4928.950890757164
9480.517741495652,386.7147106263919,83.32155040769263,11141.704746700734,5102.178156237014,2005.7716481183184,43.33832489648973,4928.951303520908
10073.050100339131,386.7189962178985,83.3220268237568,11141.747776152775,5421.004069203661,2005.9759227649333,43.35111774088475,4928.951742913255
10665.58245918261,386.7235415021654,83.32253211233024,11141.793412098808,5739.819036328336,2006.1928282321444,43.364688660413776,4928.952208933925
11258.114818026088,386.728346472123,83.32306627320304,11141.841654300444,6058.622414789375,2006.4224100683057,43.37903814097231,4928.952701585326
11850.647176869566,386.73341112029914,83.32362930615307,11141.892502505742,6377.413561945196,2006.6647168144132,43.39416669633505,4928.953220867184
12443.179535713043,386.73873543881814,83.32422121094582,11141.94595644914,6696.191835344275,2006.9198000720942,43.41007486816813,4928.953766779223
13035.711894556522,386.7443194194028,83.32484198733509,11142.002015851684,7014.956592735072,2007.1877145763092,43.42676322605182,4928.954339318609
13628.2442534,386.7501630533686,83.32549163506265,11142.060680420514,7333.707192076077,2007.468518273217,43.444232367502764,4928.954938490323
14220.776612243479,386.7562663316278,83.32617015385843,11142.12194984959,7652.442991545708,2007.7622724021885,43.46248291798959,4928.955564291452
14813.308971086957,386.76981998150586,83.32687754343982,11142.185823819056,7971.014814196313,2008.0690415832664,43.481515530960046,4928.956216721775
15405.841329930436,386.995286405117,83.3276138035126,11142.25230199574,8285.017601724612,2008.3888939099002,43.50133088786412,4928.956895783717
15998.373688773914,387.22948176794773,83.32837893377061,11142.321384032744,8598.466125677338,2008.7219010469694,43.52192969817618,4928.957601474325
16590.90604761739,387.4723931734624,83.32917293389546,11142.39306956981,8911.34185830467,2009.0681383345993,43.54331269942207,4928.958333793339
17183.43840646087,387.6306020341617,83.32999580355664,11142.467358233043,9225.843748065628,2009.4276848974976,43.56548065720483,4928.959092743217
17775.970765304348,387.6357861697097,83.33084754241223,11142.544249635219,9543.8489174591,2009.80062376055,43.58843436523287,4928.959878321005
18368.50312414783,387.6411459835104,83.33172815010748,11142.623743375458,9861.841141999219,2010.1870419709826,43.6121746453463,4928.960690531807
18961.035482991305,387.64668147004596,83.3326376262763,11142.705839039503,10179.819991589804,2010.587030726442,43.636702347549715,4928.961529375312
19553.56784183478,387.6523926236227,83.33357597054044,11142.790536199604,10497.785036271958,2011.0006855104477,43.6620183500401,4928.962394843385
20146.100200678262,387.6582794383641,83.33454318250928,11142.877834414572,10815.735846228625,2011.4281062347652,43.68812355923807,4928.963286943697
20738.63255952174,387.6643419082154,83.33553926178053,11142.967733229772,11133.671991788848,2011.8693973889647,43.715018909822966,4928.964205673312
21331.16491836522,387.67058002694114,83.33656420793994,11143.060232177184,11451.59304343226,2012.3246681979995,43.74270536476357,4928.965151032103
21923.697277208696,387.67699378812017,83.33761802056127,11143.155330775244,11769.498571793598,2012.7940327875087,43.77118391535254,4928.966123022367
22516.229636052176,387.6835831851582,83.33870069920584,11143.253028529089,12087.388147666728,2013.2776103578149,43.800455581245636,4928.967121641301
23108.761994895653,387.6903482112765,83.3398122434235,11143.353324930491,12405.26134200936,2013.7755253662103,43.83052141049283,4928.9681468911895
23701.294353739133,387.6972888595167,83.34095265275187,11143.456219457757,12723.117725947286,2014.287907718756,43.86138247957976,4928.969198771899
24293.82671258261,387.7044051227406,83.34212192671647,11143.561711575923,13040.956870778748,2014.814892971312,43.893039893466764,4928.970277283177
24886.359071426086,387.71169699362673,83.3433200648312,11143.669800736636,13358.77834797894,2015.3566225406446,43.92549478562315,4928.971382422104
25478.891430269567,387.71916446467696,83.3445470665974,11143.780486378215,13676.58172920415,2015.9132439257025,43.95874831807272,4928.972514191076
26071.423789113043,387.7268075282128,83.34580293150496,11143.893767925596,13994.366586296232,2016.484910939803,43.99280168143552,4928.97367259255
26663.956147956524,387.7346261763721,83.34708765903127,11144.009644790583,14312.132491287104,2017.0717839542172,44.02765609496847,4928.974857621046
27256.4885068,387.7426204011148,83.34840124864212,11144.128116371516,14629.87901640288,2017.674030153345,44.06331280660908,4928.976069281461
27849.02086564348,387.75079019422174,83.34974369979125,11144.249182053522,14947.605734068267,2018.2918238024383,44.099773093019444,4931.061549965828
28441.553224486957,387.7591355472906,83.35111501192009,11144.372841208533,15265.312216911077,2018.9253465278716,44.13703825963352,4936.050849727102
29034.085583330434,387.76765645174225,83.35251518445855,11144.499093195229,15582.998037766309,2019.5747876113667,44.17510964070576,4941.14866446746
29626.617942173914,387.77635289881437,83.35394421682409,11144.627937359004,15900.66276968074,2020.2403442978118,44.21398859935418,4946.355213009291
30219.15030101739,387.785224879565,83.35540210842255,11144.75937303209,16218.305985917123,2020.9222221180903,44.253676527612335,4951.670718842473
30811.68265986087,387.79427238487506,83.35688885864752,11144.893399533546,16535.927259958404,2021.6206352273603,44.294174846478136,4957.095410133738
31404.215018704348,387.8034954054425,83.35840446688076,11145.03001616927,16853.52616551229,2022.3358067591162,44.33548500596415,4962.629519736533
31996.74737754783,387.8128939317859,83.3599489324919,11145.169222231998,17171.10227651542,2023.0679691966166,44.377608485152145,4968.273285201448
32589.279736391305,387.82246795424373,83.36152225483872,11145.311017001346,17488.655167137687,2023.8173647611825,44.42054679224383,4977.63538959323
33181.81209523478,387.832217462976,83.36312443326689,11145.455399743842,17806.18441178652,2024.584245819666,44.464301464614294,4987.705249989086
33774.34445407826,387.8421424479611,83.36475546711024,11145.602369712835,18123.68958511127,2025.3688753110061,44.508874068866405,4997.970544210933
