date,google_ios_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,221.716191
2024-12-16,1001.220566
2024-12-23,969.498649
2024-12-30,937.5164030000001
2025-01-06,877.186818
2025-01-13,1078.110156
2025-01-20,658.7540710000001
2025-01-27,561.479251
2025-02-03,986.319656
2025-02-10,1150.804903
2025-02-17,193.476909
2025-02-24,0.0
2025-03-03,0.0
2025-03-10,0.0
2025-03-17,0.0
2025-03-24,300.156733
2025-03-31,752.000844
2025-04-07,3351.249486
2025-04-14,688.218432
2025-04-21,1385.769471
2025-04-28,1737.578703
2025-05-05,8108.377855
2025-05-12,14403.78006
2025-05-19,17696.400227
2025-05-26,26387.466167
2025-06-02,28961.045244
2025-06-09,23452.188341
2025-06-16,25869.424541
2025-06-23,24784.073921
2025-06-30,46948.540461000004
2025-07-07,5061.478967
2025-07-14,8289.177588999999
2025-07-21,7853.869744
2025-07-28,18808.696849
2025-08-04,9974.808362
2025-08-11,18509.85719
2025-08-18,19647.567096
2025-08-25,18571.121372
2025-09-01,28088.321161
2025-09-08,30060.493018
2025-09-15,22451.888662
2025-09-22,22819.193234
2025-09-29,10747.956818
2025-10-06,17717.521797
2025-10-13,26046.076505999998
2025-10-20,18744.026243
2025-10-27,18076.116587
2025-11-03,15970.6765
2025-11-10,14652.876449
2025-11-17,17861.512615
2025-11-24,20494.865446
2025-12-01,18478.947803000003
2025-12-08,27098.063947000002
2025-12-15,30219.293732000002
2025-12-22,14371.178418
2025-12-29,18019.68085
2026-01-05,20610.591354
2026-01-12,20959.205751
2026-01-19,17514.028393
2026-01-26,24491.489623
2026-02-02,15471.170209
2026-02-09,9754.177340999999
2026-02-16,11997.674944
2026-02-23,9246.640628000001
2026-03-02,19816.78374
2026-03-09,25163.726268
2026-03-16,11052.421359
2026-03-23,18572.358819
2026-03-30,22060.899977
