date,mean,lo95,hi95
2024-07-01,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0
2024-07-29,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0
2024-08-19,0.0,0.0,0.0
2024-08-26,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0
2024-09-16,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0
2024-10-07,0.0,0.0,0.0
2024-10-14,0.0,0.0,0.0
2024-10-21,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0
2024-11-04,0.0,0.0,0.0
2024-11-11,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0
2024-11-25,0.0,0.0,0.0
2024-12-02,0.0,0.0,0.0
2024-12-09,2940.595351918109,1657.4765431998076,3963.807770054736
2024-12-16,4983.835037287776,3381.7284803643875,6293.422781421021
2024-12-23,12455.108686376256,8270.730800594942,15989.560752018959
2024-12-30,20553.101124299563,14473.252046562757,25765.786328904513
2025-01-06,21043.092775929992,16439.51237254609,25599.68337430169
2025-01-13,38212.381250411374,27952.79868264169,47772.04811313194
2025-01-20,43556.62710879503,33715.68637419393,53156.947985459155
2025-01-27,47696.87239862475,37586.3753978266,57847.23809021491
2025-02-03,53358.14486722348,42226.06231587463,64682.74023787049
2025-02-10,89583.3296183613,67383.53854578405,111082.27110294165
2025-02-17,105049.98679807814,81547.4600662362,127430.32632416209
2025-02-24,129699.63617160957,101240.78980628097,156976.8826655833
2025-03-03,133033.8272041875,105759.64612753758,159527.4500752324
2025-03-10,134210.997403998,107171.77406743298,161205.4369838781
2025-03-17,139934.58526166965,111832.64749792223,167862.8675202243
2025-03-24,139049.0949622277,111053.87021711627,167112.01409088433
2025-03-31,151571.0932811866,121047.410318441,181189.7541849727
2025-04-07,146172.4484934135,116591.69809153318,175824.71693302263
2025-04-14,141746.55590798846,112989.0144943907,170966.66249184168
2025-04-21,165856.813019514,132372.1722846384,198563.62049850408
2025-04-28,179018.71691739588,143053.02447744567,214352.8394458765
2025-05-05,183645.15884612442,146971.65357404674,220115.13294281735
2025-05-12,210962.99652981668,167910.49318349254,253442.0259197872
2025-05-19,201775.9250021314,161435.32331040676,242426.2691861963
2025-05-26,178832.8890243379,142377.43655587194,217992.52889575655
2025-06-02,152889.69231034853,120727.091982357,190062.64833373978
2025-06-09,141727.49220195293,112230.06863826729,174820.96343532138
2025-06-16,91802.23244717834,68087.7550777431,130044.02227423347
2025-06-23,76517.01143898559,58750.08107897437,105206.88200745813
2025-06-30,47828.71804039979,34314.874962882925,75933.60320835198
2025-07-07,10555.757138731295,891.3974086615384,39764.60228001369
2025-07-14,57873.66131721279,43563.967087541736,73824.19531832395
2025-07-21,55487.468291540055,44141.984611820684,67049.07475721042
2025-07-28,53371.60777112901,42445.50082090596,64400.73230935931
2025-08-04,68361.60792530824,53905.78478279775,82970.3486527712
2025-08-11,65933.35946129887,52540.582514256464,79578.71014508703
2025-08-18,88786.94944347734,69428.67979969669,108083.68344766431
2025-08-25,111603.79802124642,87120.2900295415,135249.08939439114
2025-09-01,33468.86494281921,16120.86561230893,64409.7445200045
2025-09-08,7977.2673178908535,94.23951017457846,33671.151566260305
2025-09-15,2754.5228646340356,0.5015499826056825,17802.30401369035
2025-09-22,1143.0091100350787,0.0027859631473719686,9515.314523600928
2025-09-29,4684.119057179225,3403.5741138153726,7323.200661094569
2025-10-06,25897.6241938178,17486.28073047534,33979.63919145857
2025-10-13,28991.333827365874,22149.75876804456,35647.053485694756
2025-10-20,35784.50109166097,27490.650652176846,43735.704038532276
2025-10-27,37933.49004179407,29883.084473326744,45970.098265330496
2025-11-03,39079.4218896717,31089.502844249444,47278.07848498818
2025-11-10,39113.294545880584,31150.707568753412,47251.62237558402
2025-11-17,39751.96735162574,31687.828523412303,47983.4476603452
2025-11-24,37814.583665280086,30021.8871392685,45922.3385475783
2025-12-01,37775.06215723267,30066.572827721655,45766.68235983226
2025-12-08,29658.48678347108,23154.23840023063,37695.1592618225
2025-12-15,27264.04777265688,21405.590894853976,34122.774324837534
2025-12-22,26629.129451224042,21034.996200106372,32777.50256831131
2025-12-29,26559.378660465132,21078.503513393698,32338.88701455285
2026-01-05,24561.252014015667,19421.323411886744,30177.51643367861
2026-01-12,34913.54019043836,27362.75288080639,42615.141546941886
2026-01-19,38565.53089982382,30570.192141325166,46736.22845404561
2026-01-26,27290.292315990166,21001.837424170346,34637.68203126078
2026-02-02,27373.670973630535,21634.21205953798,33515.63341435994
2026-02-09,29588.83067663327,23521.16472883918,35810.82722036256
2026-02-16,33853.02904588445,26887.6696558594,40975.33071913346
2026-02-23,36689.62194034866,29202.731455115834,44367.52101051992
2026-03-02,41923.70818031893,33303.92367367912,50770.530368708925
2026-03-09,43773.46587992224,34870.44533658435,52947.56257935575
2026-03-16,38421.990596034804,30433.263312358995,46919.46668851033
2026-03-23,45384.62715869999,36072.512498476106,54899.72091208829
2026-03-30,46642.39920841861,37134.3302512742,56345.037819720485
