spend,icac_mean,icac_lo95,icac_hi95,ltv_mean
0.0,,,,0.0
1026.2114347826089,291.59882378409725,241.69631829956273,377.1990710564785,732.4275015075434
2052.4228695652178,291.5991580027404,241.69645972804398,377.19918145283793,1464.8533240610423
3078.6343043478264,291.5997150333736,241.69669544138233,377.19936544671447,2197.2757887259013
4104.8457391304355,291.6004948753604,241.6970254384082,377.19962303807904,2929.6932166062
5131.057173913045,291.60149752780274,241.69744971748426,377.1999542268783,3662.103928864124
6157.268608695653,291.6027229895432,241.6979682764855,377.2003590130283,4394.506246739349
7183.480043478262,291.60417125916655,241.69858111283062,377.2008373964327,5126.898491568418
8209.691478260871,291.60584233500526,241.69928822346589,377.20138937697567,5859.2789848039865
9235.90291304348,291.60773621512607,241.70935175031786,377.20201495453034,6591.646048034441
10262.11434782609,291.60985289734907,241.72717480166762,377.2027141289483,7323.998003002878
11288.325782608697,291.61219237922904,241.7468733370117,377.2034869000595,8056.333171626838
12314.537217391306,291.61475465806944,241.7684471684017,377.20433326768466,8788.649876017338
13340.748652173916,291.61753973091163,241.79189609001574,377.2052532316191,9520.946438498497
14366.960086956524,291.6387196638071,241.81721987816448,377.2062467916459,10252.58229241303
15393.171521739134,291.6814036289618,241.84544708946478,377.2073139475314,10983.302106232328
16419.382956521742,291.73658048729544,241.87812567804087,377.20845469901957,11713.306449713997
17445.594391304352,291.7386934953904,241.90275573343231,377.20966904584213,12445.29796789578
18471.80582608696,291.73890252343506,241.90632186772734,377.21095698770745,13177.364876980155
19498.01726086957,291.7768179478298,241.91009175606453,377.2123185243107,13907.633331328416
20524.22869565218,291.7870221434129,241.92098426816048,377.21375365533135,14639.102181282655
21550.440130434785,291.81972459956916,241.9330291951752,377.21526238042713,15369.334616737924
22576.651565217395,291.8656448357174,241.9456614188025,377.2168446992396,16098.674299744791
23602.863000000005,291.8783938741817,241.95517028817366,377.21850061139196,16829.697097921067
24629.07443478261,291.8817684179297,241.95532644458427,377.2202301164948,17561.220013984923
25655.28586956522,291.89963178953576,241.9554892450344,377.2220332141336,18291.81806073831
26681.49730434783,291.9019967505451,241.95565868940716,377.22390990388243,19023.33666288846
27707.70873913044,291.9163327301196,241.9558347775868,377.2258601852953,19754.033256206087
28733.920173913048,291.9341226527262,241.95601750944854,377.2278840579102,20484.41579420134
29760.131608695658,291.97747140988247,241.9565775926701,377.22998152124586,21212.852179230787
30786.343043478268,292.0197565998915,241.96214914017762,377.23215257480473,21941.152256626003
31812.554478260874,292.0422465049387,241.96790949837154,377.2343972180719,22670.778007952595
32838.765913043484,292.0582911613541,241.97385866171953,377.2367154505124,23400.807829394056
33864.97734782609,292.0673108101063,241.97999662450903,377.23910727157914,24131.337785130625
34891.188782608704,292.1177071003135,241.98632338084576,377.24157268070144,24858.301161433057
35917.40021739131,292.13098329262607,241.99283892465397,377.244111677297,25588.264771736052
36943.61165217392,292.13503584009845,241.9995432496783,377.24672426076074,26318.99291460163
37969.82308695653,292.2504882344463,242.00643634948034,377.2494104304745,27039.390343536063
38996.03452173914,292.34883851046544,242.01351821744169,377.2521701857993,27760.842171719843
40022.24595652174,292.3911559165055,242.02582881144477,377.25500352608026,28487.267097641292
41048.45739130436,292.42777801946613,242.02999977644038,377.25791045064545,29214.050682841316
42074.66882608696,292.44304035683047,242.29720014854803,377.2608909588057,29942.8391512749
43100.88026086957,292.48020089623844,242.3016934206354,377.2804264011364,30669.25554121194
44127.09169565218,292.54200076478855,242.30603695446396,377.306466673509,31392.842491376963
45153.30313043479,292.62772952158883,242.37837403695212,377.3331188947426,32113.497668608652
46179.514565217396,292.6593374960569,242.4043730318508,377.3462554347378,32839.80272538522
47205.72600000001,292.71807103823244,242.43095509573763,377.34783627482074,33562.84041993623
48231.937434782616,292.75615488819,242.45812015019212,377.3494518354185,34288.00643648995
49258.14886956522,292.79769647692933,242.5316223352947,377.35094361405595,35012.570376113115
50284.360304347836,292.87460858955035,242.59857847610448,377.35192745614023,35732.61251069384
51310.57173913044,292.92897690686976,242.6018919679883,377.4484291327083,36455.08211029981
52336.783173913056,292.98098592720805,242.71603123818724,377.4516606817619,37177.58293423205
