date,influencer_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,0.0
2024-12-16,0.0
2024-12-23,0.0
2024-12-30,0.0
2025-01-06,0.0
2025-01-13,0.0
2025-01-20,0.0
2025-01-27,0.0
2025-02-03,5160.0
2025-02-10,5520.0
2025-02-17,28800.0
2025-02-24,16800.0
2025-03-03,3000.0
2025-03-10,6600.0
2025-03-17,7430.0
2025-03-24,13460.0
2025-03-31,18350.0
2025-04-07,12300.0
2025-04-14,0.0
2025-04-21,0.0
2025-04-28,0.0
2025-05-05,300.0
2025-05-12,3675.0
2025-05-19,9975.0
2025-05-26,22950.0
2025-06-02,29100.0
2025-06-09,5600.0
2025-06-16,9800.0
2025-06-23,24000.0
2025-06-30,8000.0
2025-07-07,0.0
2025-07-14,0.0
2025-07-21,5175.0
2025-07-28,3825.0
2025-08-04,0.0
2025-08-11,0.0
2025-08-18,12857.142856
2025-08-25,36028.571431
2025-09-01,23057.142857
2025-09-08,52542.857146
2025-09-15,4114.285714
2025-09-22,4457.142858
2025-09-29,15342.857145
2025-10-06,0.0
2025-10-13,6171.4285740000005
2025-10-20,1028.571429
2025-10-27,1800.0
2025-11-03,11485.714283
2025-11-10,4414.285713
2025-11-17,15428.57143
2025-11-24,8742.857142
2025-12-01,1028.571428
2025-12-08,1285.714287
2025-12-15,2742.857144
2025-12-22,771.4285709999999
2025-12-29,0.0
2026-01-05,0.0
2026-01-12,0.0
2026-01-19,10285.714284000001
2026-01-26,4457.142858
2026-02-02,13799.999999
2026-02-09,6257.142856
2026-02-16,3599.9999980000002
2026-02-23,23485.714281
2026-03-02,10285.714284
2026-03-09,8228.571428
2026-03-16,3428.571428
2026-03-23,2571.4285710000004
2026-03-30,3771.42857
