spend,iroas_mean,iroas_lo95,iroas_hi95,ltv_mean,iroas_marginal_mean,iroas_marginal_lo95,iroas_marginal_hi95
0.0,,,,0.0,,,
1627.2977826086958,1.5675698547510435,1.2220965659007592,2.0144889644216764,2550.902948720609,1.5798311563630532,1.2049822977457727,1.9877150927113032
3254.5955652173916,1.567555965833591,1.2220935081552757,2.0144812799544836,5101.76069463207,1.5798090352006435,1.2049761797826837,1.9877118408313157
4881.893347826088,1.5675328188745765,1.2220884119545328,2.01446847274895,7652.528040962872,1.5797537414841523,1.204960885030307,1.987703711157924
6509.191130434783,1.5675004157288948,1.2220812773610636,2.0144505431647675,10203.159803015356,1.579676355991911,1.2049394728118183,1.987692329689644
8136.4889130434785,1.5674705187083182,1.2220721044624068,2.0144274917054026,12753.706496992741,1.5795769043754815,1.204911943562072,1.9876776965009824
9763.786695652176,1.5674559125347862,1.2220608933711474,2.01439931901803,15304.305184828485,1.5794554195310406,1.2048782978401418,1.9876598116877027
11391.084478260871,1.5674386513787375,1.2220476442248673,2.014366025893437,17854.82609234649,1.5793119415367245,1.2048385363292078,1.9876386753668642
13018.382260869566,1.5674187355828142,1.222032357186151,2.0143276132659382,20405.256262665913,1.5791465175766528,1.2047926598366585,1.987614287676605
14645.680043478262,1.5673961655423134,1.2220150324425818,2.0142840822131993,22955.58274190741,1.5789592018520846,1.204740669294054,1.987586648776622
16272.977826086957,1.5673565818861537,1.2219956702067392,2.0142354339560806,25505.558902604826,1.5787500554801461,1.2046825657569205,1.9875557588478898
17900.275608695654,1.5672993890124267,1.2219742707161856,2.0141816698584587,28055.091024662743,1.5785191463805794,1.204618350404874,1.9875216180923836
19527.57339130435,1.567248052486497,1.221950834233461,2.0141227914270328,30604.551367308883,1.5782665491511672,1.204917080991403,1.9876204932019341
21154.871173913045,1.567204559314495,1.2219253610460779,2.0138794333452155,33154.01055546731,1.5779923449323487,1.2080009095366533,1.9903071010240545
22782.168956521742,1.5671108268021618,1.2218978514665109,2.013503719231459,35702.18362980133,1.5776966212617152,1.207989656067741,1.9895136129127131
24409.466739130436,1.5669973504375287,1.2218683058321798,2.01310036517997,38249.569705810376,1.577379471919071,1.2079775691642602,1.988661817601388
26036.764521739133,1.5668760873751884,1.2218367245054496,2.012669411900293,40796.383721731734,1.5770409967627794,1.2079646488595426,1.9882601972793186
27664.06230434783,1.5667470454430918,1.22180310787361,2.0122109028536044,43342.58788029058,1.5766813015581373,1.2041047918523589,1.9836359699265245
