spend,icac_mean,icac_lo95,icac_hi95,ltv_mean,icac_marginal_mean,icac_marginal_lo95,icac_marginal_hi95
0.0,,,,0.0,,,
406.23051533478264,436.14281518449513,82.40946333781804,10981.665773502327,193.84654665812636,1935.8771989702348,33.30089038407815,5875.105129262376
812.4610306695653,436.1430322515906,82.41052950675963,10981.851140894372,387.6929003975372,1935.8933144202638,33.306017435470295,5875.113166968409
1218.6915460043479,436.14339402997325,82.41230644242137,10982.160083703797,581.5388683003066,1935.933607075353,33.318838024551404,5875.13326127481
1624.9220613391306,436.1439005195151,82.4147941259443,10982.592597664605,775.384257450023,1935.990024317168,33.33679237662776,5875.1613933808685
2031.1525766739132,436.14455172000453,82.4179925309252,10983.148676804813,969.2288749326176,1936.0625736748827,33.35988602110457,5875.1975633633665
2437.3830920086957,436.14534763118513,82.42190162342024,10983.828313446567,1163.0725278370903,1936.1512648352946,33.38812607013588,5875.241771321396
2843.6136073434786,436.14628825273417,82.42652136194394,10984.631498206672,1356.91502325632,1936.2561096475806,33.42152122081549,5875.294017375878
3249.844122678261,436.1473735842809,82.43185169747244,10985.558219996983,1550.7561682877886,1936.3771221293314,33.46008175785453,5875.35430166972
3656.0746380130436,436.1486036253847,82.4378925734443,10986.60846602492,1744.59577003442,1936.5143184734195,33.5038195567489,5875.422624368131
4062.3051533478265,436.14997837556007,82.44464392576337,10987.78222179418,1938.4336356052659,1936.6677170560247,33.55274808743721,5875.498985657742
4468.535668682609,436.1514978342488,82.45210568280069,10989.079471105382,2132.2695721163855,1936.8373384459987,33.606882418448876,5875.583385747339
4874.766184017391,436.15316200084874,82.4602777653976,10990.5001960569,2326.103386691497,1937.0232054148503,33.666239221544245,5875.675824868388
5280.996699352174,436.15497087468964,82.46916008686841,10992.044377045764,2519.9348864628555,1937.2253429483233,33.730836776849664,5875.776303273562
5687.227214686957,436.156924455051,82.47875255300407,10993.711992768594,2713.76387857194,1937.4437782588752,33.80069497848727,5875.884821237709
6093.45773002174,436.1590227411506,82.48905506207518,10995.503020222632,2907.5901701702796,1937.678540799049,33.87583534070077,5876.001379058044
6499.688245356522,436.16126573214706,82.50006750483618,10997.41743470696,3101.41356842022,1937.929662276492,33.95628100448232,5876.125977052912
6905.918760691305,436.1636534271438,82.51178976452985,10999.455209823605,3295.2338804956635,1938.1971766697213,34.04205674469914,5876.258615563715
7312.149276026087,436.1661858251849,82.52422171689102,11001.616317478958,3489.0509135828706,1938.4811202450594,34.13318897772244,5876.399294953277
7718.3797913608705,436.16886292525646,82.53736323015167,11003.900727885048,3682.8644748812203,1938.7815315750117,34.229705769564596,5876.548015606486
8124.610306695653,436.17168472628805,82.55121416504588,11006.308409561103,3876.6743716039705,1939.0984515575458,34.33163684451996,5876.70477793043
8530.840822030435,436.17465122714964,82.56577437481498,11008.839329335035,4070.4804109790502,1939.4319234366665,34.439013594322624,5876.86958235379
8937.071337365218,436.17776242665434,82.58104370521336,11011.493452345101,4264.282400249813,1939.7819928242052,34.551869087811006,5877.042429327662
9343.3018527,436.1810183235569,82.59702199451405,11014.270742041619,4458.080146675819,1940.148707722879,34.67023808111327,5877.2233193249485
9749.532368034783,436.1844189165552,82.61370907351476,11017.171160188776,4651.8734575335875,1940.5321185504063,34.79415702835242,5877.412252840563
10155.762883369565,436.1879642042868,82.63110476554459,11020.194666866473,4845.662140117405,1940.9322781651479,34.92366409287065,5877.609230391554
10561.993398704348,436.1916541853331,82.64920888647062,11023.341220472319,5039.446001740054,1941.349241892816,35.058799158983746,5877.814252516654
10968.223914039132,436.1954888582187,82.6680212447046,11026.610777723692,5233.2248497335895,1941.7830675544785,35.19960384426466,5878.49680906534
11374.454429373915,436.1994682214083,82.68754164121053,11030.0032936598,5426.998491450131,1942.2338154960444,35.346121512360526,5892.340963314863
11780.684944708697,436.20359227330977,82.70776986951184,11033.518721643972,5620.766734262618,1942.7015486189275,35.49839728634597,5953.74798864654
12186.91546004348,436.2078610122719,82.7287057156995,11037.15701336588,5814.529385565593,1943.186332412125,35.656478062621346,6017.762268484851
12593.145975378262,436.2122744365871,82.75034895843989,11040.91811884395,6008.286252775939,1943.6882349856178,35.82041252535461,6046.501505159273
12999.376490713044,436.2168325444892,82.75951287443391,11044.801986427801,6202.037143333678,1944.207327105315,35.990251161473864,6049.750534103645
13405.607006047827,436.22153533415417,82.75964945432226,11048.808562800772,6395.781864702731,1944.7436822292332,36.166046276217365,6053.103927229352
13811.83752138261,436.22638280370086,82.75979023657304,11052.937792982539,6589.520224371676,1945.2973765453057,36.34785200924164,6056.561799237504
14218.068036717392,436.2313749511883,82.7603984808174,11057.189620331816,6783.252029854553,1945.8684890104842,36.53572435129408,6060.124268402902
14624.298552052174,436.2365117746201,82.7615549421163,11061.563986549114,6976.977088691572,1946.45710139156,36.7297211614562,6063.791456578062
15030.529067386957,436.2417932719393,82.76274377193108,11066.060831679593,7170.695208449957,1947.063298307387,36.92990218496391,6067.563489197321
15436.759582721741,436.2472194410342,82.76396495303611,11070.680094116024,7364.406196724621,1947.6871672726693,38.05096689315419,6071.995534184338
15842.990098056523,436.2527902797327,82.76521846774588,11075.421710601757,7558.1098611390225,1948.3287987433685,37.34906539471494,6072.38192261828
16249.220613391306,436.25850578580605,82.76650429791782,11080.285616233836,7751.8060093458835,1948.9882861638137,37.56817667073282,6072.778364152374
16655.451128726087,436.2643659569669,82.76782242495206,11085.271744466158,7945.494449027972,1949.6657260152863,37.793730379405794,6073.18486009751
17061.68164406087,436.27037079087086,82.76917282979404,11090.380027112717,8139.174987898859,1950.361217866586,38.02579598455205,6083.767453456417
17467.912159395655,436.27652028511534,82.77055549293296,11095.610394350964,8332.847433703691,1951.0748644260843,38.26444495546253,6092.404894984833
17874.142674730436,436.2828144372397,82.7719703944063,11100.962774725143,8526.511594219959,1951.8067715955121,38.509750788908185,6096.914652683239
18280.37319006522,436.2892532447263,82.79908382748867,11106.437095149822,8720.167277258255,1952.5570485258793,38.761789031773716,6101.530387788154
18686.6037054,436.3156768992884,82.84939666208881,11112.033280913432,8913.407938559987,1953.325807675094,38.95552288824361,6106.252258178783
19092.834220734785,436.34768864803505,82.90080214857923,11117.751255681897,9106.508294963973,1954.1131648670448,39.081829998025654,6111.080425364065
19499.064736069566,436.38038726374606,82.9532994385872,11123.590941502362,9299.565664656682,1954.919239353329,39.21113645539296,6116.01505448926
19905.29525140435,436.4137726471743,83.00688766630459,11129.552258806936,9492.579154115698,1955.7441538766502,39.34346072543106,6121.056314340871
20311.52576673913,436.4478446970036,83.06156594853891,11132.100475643621,9685.547871135597,1956.588034735975,39.478821704173,6126.204377352798
20717.756282073915,436.4826033098477,83.11733338476473,11132.676661639565,9878.470924853911,1957.451011854021,39.61723872129121,6131.459419611734
21123.986797408696,436.5180483802527,83.17418905717646,11133.264212825463,10071.347425776908,1958.333218847088,39.75873154286896,6136.82162086401
21530.21731274348,436.5541798006991,83.23213203074188,11133.863126607694,10264.17648580529,1959.2347930966105,39.903320374214616,6142.291164521069
21936.447828078264,436.5909974616012,83.29116135325687,11134.473400344212,10456.957218259842,1960.1558758230879,40.0510258627499,6147.86823766584
22342.678343413045,436.6285012513101,83.35127605540082,11135.095031344637,10649.688737906918,1961.0966121623417,40.20186910095981,6153.5530310592685
22748.90885874783,436.6666910561139,83.41247515079297,11135.728016870413,10842.370160983899,1962.0571512442039,40.35587162940009,6159.345739147062
23155.13937408261,436.70556676023955,83.47475763605003,11136.372354134874,11035.000605224486,1963.037646273403,40.51305543977789,6165.246560066022
23561.369889417394,436.74512824585474,83.53812249084437,11137.028040303418,11227.579189883894,1964.038254612823,42.689192510918005,6172.835769978687
23967.600404752175,436.78537539306774,83.60256867796328,11137.695072493527,11420.105035764022,1965.059137869586,40.83705714783074,6173.031733318033
24373.83092008696,436.8263080799305,83.66809514336903,11138.373447775011,11612.577265238395,1966.1004619834655,41.00392131325592,6173.23105071276
24780.06143542174,436.8679261824387,83.73470081626014,11139.063163170014,11804.99500227711,1967.1623973178835,41.17405930272843,6173.433722378964
25186.291950756524,436.91022957453504,83.7817955468609,11139.764215653224,11997.35737247156,1968.2451187536765,41.34749541211312,6173.639748536756
25592.522466091305,436.95321812810806,83.82591885235234,11140.476602151937,12189.66350305919,1969.348805785908,41.52425440825048,6173.849129410049
