date,liftoff_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,1258.9768840000002
2024-11-11,11136.613285
2024-11-18,11345.607257
2024-11-25,12368.002199
2024-12-02,16155.231265999999
2024-12-09,15818.045457
2024-12-16,16811.69629
2024-12-23,18350.580781
2024-12-30,17908.092136
2025-01-06,18026.979748
2025-01-13,12388.22364
2025-01-20,4859.948657
2025-01-27,673.6571710000001
2025-02-03,14472.58036
2025-02-10,14187.882067
2025-02-17,14426.604288
2025-02-24,14635.809529
2025-03-03,14729.241218000001
2025-03-10,16026.004731
2025-03-17,17789.125144
2025-03-24,20174.270791
2025-03-31,15966.424652
2025-04-07,16168.086964
2025-04-14,20780.834174
2025-04-21,25459.293708
2025-04-28,26150.691049
2025-05-05,26152.006974
2025-05-12,26137.184607
2025-05-19,24599.982111999998
2025-05-26,29608.543322999998
2025-06-02,29678.579458
2025-06-09,30516.368959
2025-06-16,32311.731171
2025-06-23,32876.888421
2025-06-30,32635.048433
2025-07-07,40347.307006
2025-07-14,36961.362852
2025-07-21,34766.396966
2025-07-28,35060.246294
2025-08-04,35954.868527
2025-08-11,38674.136363
2025-08-18,38552.936688
2025-08-25,34199.704132
2025-09-01,11931.581290999999
2025-09-08,596.076094
2025-09-15,12824.967718
2025-09-22,13683.191178000001
2025-09-29,12067.751502
2025-10-06,12304.659975999999
2025-10-13,13782.420364000001
2025-10-20,17318.948645
2025-10-27,25767.000293
2025-11-03,29410.011996
2025-11-10,30690.556389
2025-11-17,30053.364357
2025-11-24,32330.67513
2025-12-01,35888.244464999996
2025-12-08,12489.958916
2025-12-15,9977.771275
2025-12-22,10251.436683
2025-12-29,8276.637044
2026-01-05,0.003784
2026-01-12,0.0
2026-01-19,0.0
2026-01-26,14.923664
2026-02-02,4567.554117
2026-02-09,8290.812086
2026-02-16,6181.52707
2026-02-23,5650.744854
2026-03-02,9290.495328
2026-03-09,10472.176328
2026-03-16,10203.281357
2026-03-23,9630.812777000001
2026-03-30,10854.897408
