spend,iroas_mean,iroas_lo95,iroas_hi95,ltv_mean,iroas_marginal_mean,iroas_marginal_lo95,iroas_marginal_hi95
0.0,,,,0.0,,,
612.3514347826087,1.5840330945880907,1.2560025580379885,1.9525642952178883,969.9849382141531,1.5885410943060636,1.2376347720323075,1.9220011823484964
1224.7028695652175,1.584029965563862,1.2560025243300734,1.952539532786295,1939.9660443033547,1.588532465708969,1.2376346297363905,1.9219719752476214
1837.0543043478262,1.5840247505838154,1.2560024681503736,1.9524982637612678,2909.93948625349,1.5885108954396465,1.2376342739966306,1.9218989597145537
2449.405739130435,1.5840174497383492,1.2560023894989027,1.952440490683975,3879.9014322718676,1.5884807004873744,1.2376337759613474,1.9217967441815298
3061.7571739130435,1.5840080631540474,1.2560022883756923,1.952366217111516,4849.84805089801,1.5884418842746981,1.2376331356307588,1.9216653348608577
3674.1086086956525,1.5839965909936362,1.2560021647806972,1.9522754476163402,5819.775511114285,1.5883944511988555,1.2376323530050826,1.9215047397383591
4286.4600434782615,1.5839830334559988,1.2560020187141527,1.9521681877855397,6789.679982456629,1.588338406629364,1.2376314280845433,1.921314968572493
4898.81147826087,1.5839673907761718,1.2560018501760268,1.9520444442199703,7759.557635125232,1.5882737569051455,1.2376303608696464,1.9210960328928932
5511.1629130434785,1.5839496632253114,1.2560016591664553,1.9519042245332356,8729.404640095043,1.5882005093310725,1.2376291513608946,1.9210834443996214
6123.514347826087,1.5839298511106854,1.2560014456856154,1.9517475373504873,9699.217169226322,1.5881186721740594,1.2376277995589424,1.9210815552562561
6735.8657826086965,1.5839079547756698,1.2560012097335733,1.9515743923070796,10668.991395375157,1.5880282546585682,1.2376263054645866,1.9210794672590357
7348.217217391305,1.5838839745997189,1.2560009513105066,1.9513848000470628,11638.723492503825,1.5879292669617169,1.2376246690778956,1.921077180408206
7960.5686521739135,1.5838579109983733,1.2560006704165472,1.951173273629976,12608.409635791311,1.5878217202077864,1.237622890400102,1.9210746947047301
8572.920086956523,1.5838297644232164,1.256000367051947,1.9509401907245234,13578.046001743409,1.587705626462324,1.2376209694320028,1.921072010149814
9185.27152173913,1.5837995353618468,1.256000041216808,1.9506969753673098,14547.628768302839,1.5875809987257272,1.2376189061742409,1.921069126744646
9797.62295652174,1.5837672243378997,1.2559996929113517,1.9506718481165275,15517.154114959725,1.5874478509263599,1.2376167006281893,1.921066044490427
10409.97439130435,1.5837328319109607,1.2559993221358314,1.9506451109307184,16486.618222861016,1.5873061979132224,1.237614352794365,1.921062763388365
11022.325826086957,1.5836963586766064,1.2559989288904672,1.9506167658916709,17456.017274921032,1.5871560554481872,1.2376118626741288,1.921059283439643
11634.677260869566,1.5836578052663262,1.255998513175487,1.9504906057579474,18425.34745593073,1.5869974401977538,1.2376092302685695,1.9210556046459395
12247.028695652174,1.5836171723475048,1.2559980749911777,1.9497918067138227,19394.604952667447,1.5868303697243895,1.2376064555787654,1.9210517270084573
12859.380130434783,1.5835744606234181,1.2559976143377778,1.9494500121550191,20363.785954004765,1.5866548624775345,1.2434164932999447,1.9261082989348317
13471.731565217393,1.5835296708331665,1.2559971312156062,1.9492789584784427,21332.88665102148,1.5864709377840702,1.2434046088155775,1.925148600297323
14084.083,1.5834828037516693,1.2559966256249377,1.9490999882110542,22301.903237111223,1.5862786158384932,1.2433921717267324,1.9248196446606727
14696.43443478261,1.583433860189598,1.25599609756612,1.9489131067100667,23270.83190809116,1.5860779176926953,1.2445502713534484,1.9254625588176424
15308.78586956522,1.5833828409933812,1.2559955470394601,1.9487183195675177,24239.668862311504,1.585868865245363,1.2433656398249546,1.9228001882837802
15921.137304347827,1.5833743137133294,1.2559949740453138,1.9485156326098645,25209.119852807427,1.5856514812310396,1.2433515450591397,1.9213707071469805
16533.488739130436,1.5833664789648396,1.2559943785840213,1.948305051897531,26178.571849881788,1.5854257892088617,1.2441267847338047,1.9211399707491346
17145.840173913046,1.583358348677276,1.2559937606559672,1.9480664833246917,27148.00918445146,1.5851918135509717,1.2477507826734708,1.923905695718851
17758.191608695655,1.5833499228630634,1.2559931202615398,1.9478117852657948,28117.431313815767,1.5849495794305726,1.2476735546319908,1.9227208116459344
18370.54304347826,1.5833412015350703,1.2559924574011325,1.9475552020948004,29086.8376953126,1.5846991128098311,1.2432896411592935,1.9171824771864152
18982.89447826087,1.5833321847066266,1.255991772075179,1.9473131827683114,30056.227786320145,1.5844404404273107,1.2432727841127509,1.9166076670852554
19595.24591304348,1.5833228723915007,1.2559910642840668,1.9470633058108007,31025.601044257815,1.58417358978532,1.2432553746961865,1.9165636710262461
20207.59734782609,1.5833132646039187,1.2559903340282736,1.9468055786759257,31994.956926588016,1.5838985891369344,1.237557437429011,1.909734606551492
20819.9487826087,1.5833033613585574,1.255989581308247,1.9465382440107144,32964.29489081736,1.5836154674727572,1.2374399108723892,1.9085522162744581
21432.300217391305,1.5832931626705489,1.255988806124456,1.9460770528949771,33933.614394498174,1.583324254507564,1.2373110168174293,1.9073355504003402
22044.651652173914,1.5832826685554664,1.2559880084773767,1.944727636626216,34902.91489522959,1.5830249806666339,1.2371784053880006,1.9062893867528956
22657.003086956523,1.5832718790293365,1.2559871883675187,1.9436102120004322,35872.19585065913,1.5827176770720146,1.2370420781821139,1.9059718971141493
23269.354521739133,1.5832607941086434,1.2559863457953961,1.9434329437282238,36841.456718484245,1.5824023755285037,1.2369020368422596,1.9056457825442692
23881.705956521742,1.5830504825250642,1.2559854807615167,1.9432238535327233,37805.946137993444,1.5820791085095591,1.2375267045829155,1.9053110489732532
24494.057391304348,1.5829511671397538,1.255984593266434,1.9414638248770142,38772.89673555333,1.5817479091430455,1.23428649848762,1.900741278928308
25106.408826086958,1.582939413817752,1.2559836833107054,1.939658884090653,39741.92407023492,1.5814088111968243,1.2342780676949303,1.8993890470388521
25718.760260869567,1.582927370541394,1.2559827508948946,1.9379609841600314,40710.929553322756,1.581061849064303,1.23630476454802,1.9001482326505723
26331.111695652176,1.5829150373290477,1.2559817960195847,1.937261172514373,41679.91265263859,1.5807070577498368,1.2375033710646157,1.8996111216759815
26943.463130434786,1.5829024141995194,1.2559808186853634,1.9365441940862866,42648.87283606097,1.5803444728540488,1.2374971820895055,1.8989743691460887
27555.814565217395,1.582865629134671,1.2559798188928482,1.9358113928937746,43617.15175809116,1.5799741305591046,1.237341056832399,1.8989286205542584
28168.166,1.5828255433110692,1.255978796642663,1.9350628129509642,44585.292653026394,1.5795960676139538,1.239663262163738,1.9001631967454529
28780.51743478261,1.5827845806116243,1.255977751935448,1.9342984991560304,45553.35921779794,1.5792103213194446,1.23966097732594,1.898834043855011
29392.86886956522,1.5827427413050443,1.25597668477186,1.9335184972844786,46521.349849435355,1.5788169295135461,1.2429017299428757,1.8992805661623038
30005.22030434783,1.582722173087736,1.2559755951525515,1.9327228539823202,47489.92748407366,1.5784159305564422,1.2428749357687963,1.898735361821366
30617.57173913044,1.5825603871902865,1.2559744830782134,1.931911616759124,48454.15618630464,1.5780073633156508,1.2428475899317348,1.8986844815696102
31229.923173913045,1.5823918727591266,1.255973348549531,1.9310848339809605,49417.97661729191,1.5775912671512342,1.2374498769193778,1.8927297498275735
31842.274608695654,1.5823073129432168,1.2559721915672166,1.9303828128032465,50384.26397408524,1.5771676819008615,1.2560289483057048,1.911194488191768
32454.626043478263,1.5822211265494532,1.255971012131989,1.9298096056086165,51350.394980253404,1.5767366478651055,1.2559202363877802,1.9095520839662683
33066.97747826087,1.5821333144591123,1.2559698102446013,1.929225903877237,52316.366676825695,1.57629820579265,1.2557855702143357,1.9088395519007193
33679.32891304348,1.5820421132694702,1.2559685859057748,1.928631731097867,53282.11668708887,1.575852396865613,1.2474984818434152,1.8987885650609542
34291.68034782609,1.5819247123194407,1.2559673391163024,1.9281466413258042,54246.85656918501,1.5753992626848339,1.2471556468666662,1.8969973847111987
34904.0317826087,1.5818148655428317,1.2559660698769382,1.9280326593661061,55211.7163411099,1.574938845255432,1.2510855319221434,1.9005796155327417
35516.38321739131,1.581587292611565,1.2559647781884942,1.9279166992457786,56172.260376148755,1.5744711869722536,1.2510343019541708,1.8988852574115498
36128.73465217392,1.5814102956267266,1.2559634640517565,1.9277987629734057,57134.35294691392,1.5739963306055178,1.2507224492083395,1.8981804027702083
36741.08608695652,1.581304289382369,1.255962127467558,1.9273192557947407,58098.837025871224,1.573514319286544,1.2474105482737983,1.8939248238948778
37353.437521739135,1.581135073082463,1.2559607684367313,1.926422626630016,59060.83016581622,1.5730251964935682,1.2473920450446982,1.8933613104513753
37965.78895652174,1.5807320415245294,1.255959386960114,1.9263538129880067,60013.73908533204,1.5725290060377246,1.243613852226531,1.8890803660207638
38578.140391304354,1.5805758697558105,1.2559579830385834,1.926283886503263,60975.677802547645,1.5720257920490828,1.2424419161533535,1.8873387151285925
39190.49182608696,1.5804587598071669,1.255956556672999,1.9262128474690536,61938.956107690305,1.5715155989628966,1.2841049397816562,1.9263337968237266
39802.843260869566,1.5801443096819938,1.2559551078642661,1.9250652351814344,62894.23628782734,1.5709984715059437,1.2839762885131307,1.922400760182839
40415.19469565218,1.5800381876213645,1.2559536366132729,1.9228412797017937,63857.55097928285,1.5704744546830023,1.2838456602361177,1.9212272250729256
41027.546130434785,1.579912640076031,1.255952142920953,1.9210684034565373,64819.93872277638,1.5699435937635209,1.2837130557591294,1.9206452295505585
41639.8975652174,1.579836714679988,1.2559506267882223,1.9210621771574614,65784.2389690443,1.5694059342684148,1.2567289605451464,1.8924062127395942
42252.249,1.5797468971730595,1.255949088216028,1.9210558588190396,66747.85925633353,1.5688615219570359,1.2591150584904653,1.894331027846306
42864.60043478261,1.579557942660159,1.2559475272053358,1.921049448450176,67707.12007571498,1.5683104028142925,1.2582506460083067,1.8924438141127666
43476.95186956522,1.5793536009698457,1.2559459437571194,1.9210415945856165,68665.4804943905,1.5677526230379581,1.2691764528872653,1.9008270375267529
44089.30330434783,1.579115840026906,1.2559443378723656,1.9210136015830146,69622.11722364627,1.5671882290261645,1.2691723764083918,1.8973057538505032
44701.65473913044,1.5788369294936067,1.255942709552067,1.9209852449663063,70576.62331161203,1.5666172673650438,1.26916824293356,1.8972313076873775
45314.00617391305,1.5786776835934768,1.2559410587972448,1.9209565258463708,71536.21030097356,1.5660397848165497,1.2691640524635872,1.8956711947661233
45926.35760869565,1.5783982315414102,1.2559393856089258,1.9204006133472256,72490.08163070361,1.5654558283065274,1.2689185344250333,1.892925255251825
46538.709043478266,1.5782731237301784,1.25593768998815,1.9199263270443596,73450.79369642035,1.5648654449128798,1.268190209444569,1.891609355281986
47151.06047826087,1.5780757296147883,1.2559359719359786,1.9198232590538806,74407.94416634252,1.5642686818539944,1.267402130107591,1.8915035563060343
47763.411913043485,1.57776429202432,1.2559342314534772,1.919297121766978,75359.40578164902,1.5636655864773141,1.2691467206473561,1.892730017928642
48375.76334782609,1.5776092322591855,1.2559324685417383,1.9192845362690343,76318.05087511597,1.5630562062481377,1.2691422452134233,1.8912878338207406
48988.114782608696,1.5774197745867755,1.2559306832018486,1.918371800352024,77274.8209778137,1.5624405887386,1.269137712788968,1.89117791094084
49600.46621739131,1.5771920992005883,1.255928875434932,1.91583986019535,78229.46343473525,1.5618187816168345,1.2691331233746155,1.8913833539973268
50212.817652173915,1.5770540025769872,1.2559270452421012,1.915802584693906,79188.32505902927,1.5611908326363946,1.2579291440513032,1.87816352676046
50825.16908695653,1.5769202605858914,1.255865249332481,1.9157648536160667,80147.23888092548,1.5605567896257613,1.2579000662174096,1.8780614636275033
51437.520521739134,1.5766186733989067,1.255627382104091,1.9157137949971803,81097.3553679134,1.5599167004781436,1.2566514840438145,1.876538291664744
52049.87195652175,1.5763821674819822,1.2553867786142647,1.915648540955322,82050.4899719814,1.5592706131414669,1.2566461004279859,1.8760997405186544
52662.22339130435,1.5760742333888231,1.2551434427967083,1.9155825537190185,82999.57336000097,1.5586185756085102,1.2566406531322087,1.876058525075777
53274.57482608696,1.5757659755644917,1.254897378626893,1.915420778541493,83948.26237361244,1.5579606359072984,1.2559164269813152,1.8747605789350388
53886.92626086957,1.5755187018240773,1.254648590121894,1.9143185960016647,84899.86010781501,1.5572968420916546,1.2559123797023233,1.8759746517624336
54499.27769565218,1.575268697406722,1.254397081340225,1.9131054451269183,85851.00618523723,1.5566272422319678,1.2370715223429656,1.856301802054972
55111.62913043479,1.5751108366613105,1.2541428563816737,1.911394858098045,86806.924269407,1.5559518844061715,1.2378903505391676,1.8557993449967256
55723.980565217396,1.574984586608612,1.2538859193871337,1.909995845678639,87764.41049469524,1.5552708166908753,1.2370459249736712,1.8543920206721793
56336.332,1.574856985267113,1.2536262745384399,1.9095748114861228,88721.66597452719,1.5545840871527274,1.237032913248683,1.8539216442729725
56948.683434782615,1.5745127446761018,1.253363926058192,1.908594871068096,89666.42786059002,1.5538917438399857,1.237019759504264,1.8537486240994383
57561.03486956522,1.5743895616579089,1.2530988782095904,1.9074091718779875,90623.49245687039,1.5531938347742291,1.2369041352485795,1.853573755313974
58173.386304347834,1.5740240627847961,1.2528311352962593,1.9062449427558033,91566.30985671899,1.5524904079423218,1.2335139947874154,1.850496235791482
58785.73773913044,1.573944854471939,1.2525607016620728,1.9050701635256562,92525.50943084122,1.5517815112885003,1.2334941314807892,1.8517308321764858
59398.089173913046,1.5737494671888288,1.2522875816909815,1.903884885915268,93477.7111894802,1.5510671927067339,1.2324254840317508,1.851725037552285
60010.44060869566,1.5734849495617547,1.2520117798068313,1.902689161989464,94425.52511435215,1.5503475000331912,1.2320194064214647,1.8528558082036994
60622.792043478265,1.5731851748437946,1.2517333004731908,1.9014830441446977,95370.87770043834,1.5496224810389296,1.2456832917442,1.8680372173912758
61235.14347826088,1.5729266808748248,1.251452148193167,1.9002611550836392,96318.39098415457,1.5488921834227944,1.2464323670789668,1.8678287143105337
61847.49491304348,1.5726995842809046,1.2511683275092262,1.8990288462929221,97267.52953855885,1.5481566548044279,1.2464016626427465,1.868074354627609
62459.84634782609,1.5725513307396994,1.2509863883982748,1.898536787107462,98221.31449207108,1.5474159427175291,1.2348065574230773,1.855558185689759
63072.1977826087,1.5719256065618126,1.2509493561231977,1.8983200605250194,99144.8027566138,1.5466700946032816,1.2318299880283519,1.8519168669636201
63684.54921739131,1.5716283753424185,1.2509119685764964,1.8982100159429156,100088.44462094299,1.5459191578038642,1.2315467475965463,1.8523682063669327
64296.90065217392,1.5714409400702103,1.2508742259295291,1.898099204800789,101038.7820044531,1.5451631795562866,1.2452250810123786,1.866995352030301
64909.25208695653,1.5712944155870419,1.250836128355126,1.8966624893116382,101991.54532416633,1.5444022069863101,1.245146114778663,1.8669288166212397
65521.60352173913,1.5711561661656899,1.25079767602758,1.8962288902400564,102944.67139024402,1.5436362871024913,1.237884322788318,1.860011416603939
66133.95495652175,1.5710161319213525,1.2507588691226417,1.8958297794673047,103897.51010445575,1.5428654667904897,1.2376189359117546,1.8592805276662574
66746.30639130436,1.5706586538430236,1.25071970781752,1.895713545721464,104835.66374556012,1.5420897928074868,1.2372439102537527,1.8585432277283758
67358.65782608696,1.5704937839153106,1.25068019229087,1.8955962582515644,105786.35340874796,1.5413093117767789,1.2361525726497717,1.856744603070922
67971.00926086957,1.5703591387685774,1.2505980949564053,1.8954779175366654,106738.89556413013,1.5405240701825258,1.2367587140349485,1.8576100350791052
68583.36069565218,1.5700058158817627,1.250141914357403,1.8953585240600215,107676.27516489063,1.5397341143646388,1.2358361001564617,1.8564777809357764
69195.71213043478,1.5694147610143494,1.2496891989410268,1.895238078309067,108596.77201640402,1.538939490513864,1.236256166519496,1.8572438843945775
69808.0635652174,1.5689830481657276,1.249233085052543,1.8950724403921968,109527.66835910166,1.538140244667013,1.2336923591309272,1.8565098401024756
70420.41500000001,1.568641455228017,1.2487733676893813,1.8940011928282732,110464.3822633609,1.5373364227022706,1.2329343647595437,1.8553294682524921
71032.76643478262,1.568343754951475,1.2483100571946484,1.8925982565752442,111403.79563491806,1.5365280703347217,1.230737347020849,1.8545199117054523
71645.11786956522,1.5682018638362383,1.2478431639774763,1.8922640322148487,112354.00737781916,1.5357152331120654,1.2304274244451108,1.8553812099308544
72257.46930434783,1.5678789275402363,1.2476124245484048,1.8919397368405386,113290.96347967241,1.5348979564103475,1.2269465140355607,1.8523999692624074
72869.82073913045,1.567613850274379,1.2475803949472164,1.8915946953643303,114231.74025767208,1.5340762854298982,1.2256465847826377,1.8521155373222626
73482.17217391304,1.5673843277467072,1.2475509910308267,1.8912610577221725,115174.8050341765,1.5332502651914328,1.2222969359492737,1.8500128687335575
74094.52360869566,1.5669891994402327,1.2475213427558733,1.8911875671643628,116105.31823249543,1.5324199405322643,1.222194724665357,1.8520676065867292
74706.87504347827,1.566881275320446,1.2474914501646905,1.8904913177332732,117056.80364333041,1.5315853561026238,1.2187491414260592,1.8516706098406814
75319.22647826087,1.5664257896374458,1.2474613132999528,1.888560845090533,117981.9788110914,1.5307465563621294,1.215917908871475,1.8497644102038038
75931.57791304348,1.5661465880915788,1.2474309322046828,1.8880639741930099,118919.98167692292,1.529903585576414,1.2100831836247607,1.8482242213951707
76543.9293478261,1.5660393818579177,1.2474003069222461,1.8875634061671522,119870.80780084571,1.5290564878138382,1.2120286942764267,1.8522330532337037
77156.28078260871,1.5658972443552637,1.2473694374963542,1.887059148573915,120818.80746218795,1.5282053069423092,1.2098478522506184,1.8500511242281164
77768.6322173913,1.5658129429565775,1.2473383239710596,1.8865319467440484,121771.1308820212,1.527350086626294,1.1923003183454455,1.834333163829612
78380.98365217392,1.5657183222126334,1.2473069663907637,1.8859965852426153,122722.54221725759,1.5264908703238944,1.2048509641880543,1.8496139925800321
78993.33508695653,1.565508244649143,1.2472753648002093,1.885457400688539,123664.71735096289,1.5256277012840174,1.2032331259383255,1.849583191939061
79605.68652173913,1.5654141810279318,1.2472435192444835,1.8849144014745953,124615.87057159451,1.5247606225437378,1.1921408836677472,1.8404545127640688
80218.03795652174,1.5650532367721883,1.2472114297690176,1.884094441802564,125545.4999513686,1.523889676925705,1.19185888055992,1.8407228076140996
80830.38939130436,1.5648961940940975,1.2471790964195868,1.8831039017368325,126491.1687255961,1.5230149070356722,1.1915156701144411,1.8410411285469195
81442.74082608697,1.5647867716488433,1.2471465192423077,1.881369841921141,127440.52349148609,1.522136355260151,1.1881422113155224,1.8401456124034468
82055.09226086957,1.5646686559717593,1.2471136982836437,1.880397519254741,128389.0309234535,1.521254063764175,1.1914441773760416,1.845072015900186
82667.44369565218,1.5643171285626054,1.2470806335903968,1.8800720537023166,129318.09814759347,1.5203680744891275,1.183141917507669,1.8383360769647084
83279.7951304348,1.5639632765279297,1.2470473252097172,1.8791786145490752,130246.54126076952,1.5194784291507162,1.1826347626647902,1.8388094679928884
83892.1465652174,1.5634049400004961,1.2470137731890913,1.8788397323561143,131157.39636730653,1.5185851692369559,1.1789632903690261,1.8385282750681142
84504.498,1.5629637132856717,1.246990590499672,1.8784985160737362,132077.46398342162,1.517688336006476,1.1733755097398273,1.835630086039501
85116.84943478262,1.562808343640016,1.2469759778237601,1.878355558563287,133021.32248102926,1.5167879704865743,1.1804352183048366,1.844702357194933
