date,mean,lo95,hi95
2024-07-01,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0
2024-07-29,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0
2024-08-19,0.0,0.0,0.0
2024-08-26,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0
2024-09-16,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0
2024-10-07,0.0,0.0,0.0
2024-10-14,0.0,0.0,0.0
2024-10-21,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0
2024-11-04,0.0,0.0,0.0
2024-11-11,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0
2024-11-25,0.0,0.0,0.0
2024-12-02,0.0,0.0,0.0
2024-12-09,0.0,0.0,0.0
2024-12-16,7487.009471101253,2676.6727090931713,11236.303802832226
2024-12-23,18722.10965181487,8060.8057270282625,26437.254635267454
2024-12-30,22264.604290622767,12162.492143047823,29248.79929607511
2025-01-06,24122.71494250188,15157.176182741881,30802.19632558362
2025-01-13,31944.934011762794,19791.740951500164,41564.54440789284
2025-01-20,32183.965004521193,22041.731957247088,40493.474832741435
2025-01-27,35573.76560581788,24846.438647209463,45035.38604890972
2025-02-03,36331.372788312314,26380.170646630515,45374.324318150306
2025-02-10,36582.180784595075,27157.077576132346,45455.32826486819
2025-02-17,36426.4567828618,27492.31369712672,45140.514559331765
2025-02-24,39423.043552324416,29147.226586333203,49397.21126507197
2025-03-03,45086.8299503712,32080.811108373826,57083.60673677876
2025-03-10,63009.145713375736,40334.74562960853,82457.26026897666
2025-03-17,73851.54561907933,48208.49473541421,95532.75920978807
2025-03-24,76195.55950893257,52730.22282384626,96770.4230318759
2025-03-31,77024.59609064386,55107.99100050557,96965.74324986954
2025-04-07,79432.118933592,57410.93107128956,100022.31388736708
2025-04-14,81542.70801998148,59638.84309406613,102626.14796000085
2025-04-21,83710.60236917256,61429.314403577606,105353.6855250572
2025-04-28,84058.88232438108,62183.13811715608,105505.72298555085
2025-05-05,76270.81924475281,58905.184936839025,93855.81484854974
2025-05-12,69988.9318359774,54752.11634062189,85601.71214600632
2025-05-19,68721.02313893089,53406.77285356603,84729.2186375267
2025-05-26,69220.29505995697,53405.017827521275,85918.63880197471
2025-06-02,68234.97773369947,52646.29221094455,84626.27749723147
2025-06-09,65831.5442513561,50968.93554142063,81327.14857286467
2025-06-16,59835.8158289215,47200.44205110547,72929.07535279823
2025-06-23,50925.078523419405,40792.40030072644,61289.28523661043
2025-06-30,49380.448882628734,39068.56055638892,60041.98131398391
2025-07-07,46751.24579329909,36914.599170224246,56843.25946998484
2025-07-14,74210.39506679859,49167.87379626909,98019.20501028838
2025-07-21,72411.75154121318,51407.58930930539,91589.56630903237
2025-07-28,67168.71766193587,50587.3451809324,83260.13019995826
2025-08-04,42344.968146274376,32855.173275151385,53062.191994447036
2025-08-11,63511.86378717538,45974.803066205495,81790.30221838239
2025-08-18,49780.36909248063,39734.68302558188,60167.915263000665
2025-08-25,40327.66922818664,32527.366788100786,48471.16714707972
2025-09-01,34415.07034384626,27647.025517984035,41571.89565331582
2025-09-08,31962.818066918255,25509.30766125955,38555.924737447036
2025-09-15,33937.23789322389,26461.00852422304,41895.74177678381
2025-09-22,37212.45104448069,28004.77215219714,46673.2594932839
2025-09-29,40910.646255990905,30103.678298247014,51495.66284543553
2025-10-06,51574.83322614694,34819.11395199019,66388.6948288651
2025-10-13,48282.55322525035,35365.0979223918,59925.69225414309
2025-10-20,52317.234084241274,37635.92514898866,65771.4569002885
2025-10-27,55079.32890251918,39845.73599498145,69196.15591613394
2025-11-03,58094.2090319003,42171.88008329606,73062.05682318402
2025-11-10,61882.9746944864,44810.43327357842,77984.59017752034
2025-11-17,62868.66813788114,46437.15292775798,78806.52454465977
2025-11-24,59695.72907065562,45646.613040767996,73728.71591781967
2025-12-01,46869.64961417233,37733.50339281125,56296.05741391398
2025-12-08,70010.85435796586,48365.39324590685,91195.03557744638
2025-12-15,80021.65178524444,54653.10723666968,102993.53268673354
2025-12-22,77138.6118921441,56015.79713519764,96963.02372296227
2025-12-29,55928.4146011137,44761.7188620689,67561.97012250013
2026-01-05,55041.648373690376,43668.71644426991,66841.61511884067
2026-01-12,63007.65471485614,47341.36073215276,79274.43665402076
2026-01-19,77672.53320057505,54145.17243983545,100174.3103841806
2026-01-26,78774.23308145547,56885.81805107583,99553.31541509384
2026-02-02,59094.820270581375,47349.807045348985,71328.32162804695
2026-02-09,48720.12106683144,39231.831210359764,58620.48568117079
2026-02-16,40316.88798320492,32381.420057194005,48759.27028666147
2026-02-23,38496.431866219886,30732.85618570225,46505.63150132601
2026-03-02,55319.207993586075,39399.91622373778,71551.01271903104
2026-03-09,59359.70131918598,42583.68320854792,75257.49241929187
2026-03-16,65574.84485425423,46311.86164068154,83408.55621349106
2026-03-23,70320.7849950207,49523.98786930738,89217.55240789798
2026-03-30,56679.68712760462,44554.32402873322,68907.65933301936
