spend,icac_mean,icac_lo95,icac_hi95,ltv_mean,icac_marginal_mean,icac_marginal_lo95,icac_marginal_hi95
0.0,,,,0.0,,,
3040.6270869565215,279.16160907106087,216.9426945854839,356.56450793314485,2266.840878383824,281.5337548843894,218.0067567473165,357.8717344549964
6081.254173913043,279.1645088477078,216.9441202152516,356.5646196724382,4533.634670476984,281.5385720214077,218.05044236146782,357.87209605921856
9121.881260869564,279.1690224889957,216.94649625651135,356.56480590362366,6800.342070291886,281.55061695805387,218.09588982291072,357.8730000711381
12162.508347826086,279.171160649679,216.9498226967292,356.5650666250952,9067.053305957204,281.56748377953954,218.15952687816255,357.8742656903769
15203.135434782607,279.17390970144857,216.9540995183623,356.5654018346473,11333.70501216799,281.5891763987335,218.24136413857735,357.8758929195132
18243.76252173913,279.17726963532664,216.95932669885326,356.5658115295333,13600.28231020518,281.6156998503237,218.2320849527233,357.71780176216026
21284.389608695652,279.18124044034323,216.96550421063316,356.5662957062743,15866.7703237789,281.6470602936967,218.45969689683247,357.74393792442976
24325.01669565217,279.1858221035355,216.97263202112373,356.56685436082944,18133.154179513862,281.6832650164817,218.80016323104317,357.88294430276767
27365.64378260869,279.191014609944,216.9808661647362,356.5771866651153,20399.419007434815,281.7243224387421,219.14554862729202,357.8860180116169
30406.270869565215,279.1968179426177,216.99069004829445,356.59009621271184,22665.549941451172,281.7702421178123,219.52415697618596,357.8894533541163
33446.89795652174,279.20323208261067,217.00154775292782,356.6043644369249,24931.53211984194,281.82103475380245,219.72338182809452,357.8932503371965
36487.52504347826,279.2102570089826,217.01343919708935,356.61999127082635,27197.350685739955,281.8767121957626,219.94171879041875,357.9349716028203
39528.15213043478,279.21789269880276,217.02636429148097,356.6369766411158,29462.99078761554,281.9372874485106,220.7907109335693,358.5528095499409
42568.779217391304,279.226139127146,217.04032293905706,356.65532046812723,31728.437579760383,282.00277468014,220.94035156753978,358.5656178876903
45609.40630434782,279.2392441438176,217.05531503503101,356.675022665827,33993.15907711922,282.07318923020625,221.1011520135151,358.57937533094383
48650.03339130434,279.24509303748766,217.07134046687744,356.6960831418156,36258.61021656568,282.14854761859505,221.00699325169398,358.37999471228204
51690.66047826086,279.2545425641766,217.08839911433938,356.7185017973307,38523.46973818626,282.2288675550891,221.41735134745412,358.6115784520097
54731.28756521738,279.2732212228058,217.1064908494339,356.74227852724783,40786.828059291875,282.3141679496416,221.76124706428385,358.6585724642518
57771.91465217391,279.2987650055619,217.13045575517182,356.76741322008183,43048.8255290885,282.4044689233473,222.82134442646662,359.34710425916575
60812.54173913043,279.3092877391174,217.15642004548903,356.79390575798993,45312.84595298405,282.4997918201511,223.234153421925,359.348400207926
63853.16882608695,279.3571450708455,217.32945859035516,356.8209068906503,47570.3376212509,282.60015921927373,222.7741286230039,358.6960548111872
66893.79591304348,279.3737492984826,217.6762318476709,356.8487157926687,49832.62971615047,282.70559494838363,222.44227015454814,357.9588881461322
69934.423,279.3845516378958,218.0388879931033,356.87781718331036,52095.73496397851,282.8161240975238,222.79148504654478,358.0217980248223
72975.05008695651,279.3924102555284,218.41739386794708,356.90821093328475,54359.23783613667,282.9317730337938,223.05358645357103,358.0075236300695
76015.67717391303,279.40517136461386,218.81488057086028,356.93989690757036,56621.619913601586,283.0525694168196,223.32706011607266,357.9983232158892
79056.30426086955,279.42274209399125,219.23219029561056,356.97287496541844,58882.78186025939,283.17854221500176,217.90705912582365,351.78628679234873
82096.93134782607,279.4565145943801,219.66551992088083,357.0220221308834,61140.114440390615,283.3097217225769,219.5294494005086,352.3697708183254
85137.55843478261,279.4616329873182,220.11483026628858,357.08565135619534,63403.401877728495,283.446139577484,221.1304590535904,352.5848113768131
88178.18552173913,279.4624626006952,220.50687463280963,357.15158946367205,65667.614146527,283.58782878009123,221.1437414087303,352.4482210981364
91218.81260869565,279.4633213222685,220.68931200334188,357.21983592832777,67931.80589673133,283.7348237127312,223.1315354467593,353.4957789457049
94259.43969565217,279.46420915193147,220.87786786196787,357.29039020690647,70195.97642106604,283.8871601601376,223.63831826966185,353.67873198277096
97300.06678260869,279.5135507099571,221.07253568179573,357.3632517378967,72447.57326814614,284.0448753307536,222.12710125829997,352.0926165812255
100340.6938695652,279.5145885961174,221.09525718199788,357.4384199415477,74711.28251687915,284.2080078789338,223.3056331923611,352.09915852694365
103381.32095652173,279.5156584156236,221.1066566979881,357.5158942198859,76974.96616065703,284.37659792807943,223.1985257050789,351.5394789215997
106421.94804347825,279.516760168327,221.11838836291597,357.595673956732,79238.62342397653,284.5506870947119,223.72600197280656,351.541006046934
109462.57513043477,279.61410108798225,221.4793470266142,357.67775851771853,81474.2119433469,284.7303185135039,223.44847787825452,350.4372459325776
112503.2022173913,279.638363195739,221.91195527222004,357.76214725030707,83730.12011067885,284.91553686328706,223.77383910712925,349.7881477636383
115543.82930434782,279.7314473996572,222.33691116920104,357.848839483808,85964.47798343582,285.1063883940974,223.7987569820679,349.94206303647866
118584.45639130434,279.77866703339043,222.56648082096322,357.9378345293987,88211.81141383694,285.3029209552035,223.6559992272729,349.0329693322436
121625.08347826086,279.83851754074266,222.7679650186912,357.96930941721297,90454.30114120469,285.50518402422813,223.85059208791154,349.0357169153939
124665.71056521738,279.89987705811734,222.92656436457338,357.97646533866634,92695.33338543752,285.7132287373271,227.0820523086068,352.1587442856306
127706.3376521739,280.0004333928967,223.08902404140332,358.07166202334116,94922.09355762551,285.92710792048035,227.36001603694712,352.16709890735154
130746.96473913042,280.0515259880557,223.40333804524008,358.2890221147199,97164.41499850099,286.14687612192125,223.93334547657903,348.59847350500434
