date,mean,lo95,hi95
2024-07-01,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0
2024-07-29,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0
2024-08-19,0.0,0.0,0.0
2024-08-26,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0
2024-09-16,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0
2024-10-07,0.0,0.0,0.0
2024-10-14,0.0,0.0,0.0
2024-10-21,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0
2024-11-04,0.0,0.0,0.0
2024-11-11,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0
2024-11-25,0.0,0.0,0.0
2024-12-02,0.0,0.0,0.0
2024-12-09,0.0,0.0,0.0
2024-12-16,0.0,0.0,0.0
2024-12-23,0.0,0.0,0.0
2024-12-30,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0
2025-01-13,0.0,0.0,0.0
2025-01-20,0.0,0.0,0.0
2025-01-27,0.0,0.0,0.0
2025-02-03,0.0,0.0,0.0
2025-02-10,0.0,0.0,0.0
2025-02-17,0.0,0.0,0.0
2025-02-24,0.0,0.0,0.0
2025-03-03,0.0,0.0,0.0
2025-03-10,0.0,0.0,0.0
2025-03-17,0.0,0.0,0.0
2025-03-24,0.0,0.0,0.0
2025-03-31,0.0,0.0,0.0
2025-04-07,207855.04540267106,41672.621187366785,420474.3205574479
2025-04-14,996669.5957803179,209463.55151528653,1918792.8798431135
2025-04-21,397483.2457504724,67343.8249090456,916128.5459029787
2025-04-28,286703.7313262439,53026.2059283228,681967.5204478891
2025-05-05,186911.27535217555,32413.934967594323,516231.63833918667
2025-05-12,66308.44458240272,801.1457650348966,322410.4874114662
2025-05-19,32368.258399148897,8.100286241380827,223360.8480587553
2025-05-26,18311.07941676686,0.08157825164724282,158574.75294999368
2025-06-02,412668.47192748834,86923.26678029413,805597.888830377
2025-06-09,1038680.1814834337,222508.53158828898,1965402.8251907
2025-06-16,386453.42784453917,60208.74669880272,940212.4822058581
2025-06-23,132947.38340330395,1095.9185251323959,546782.1726250594
2025-06-30,60375.2711004827,10.793337258526906,342535.32096942724
2025-07-07,32003.00989292041,0.10842416759068901,236461.51261330702
2025-07-14,18718.656168741847,0.001035544567346915,168265.7765373407
2025-07-21,11744.754282536172,9.975879724694235e-06,118648.92613675847
2025-07-28,6273.2945827257945,9.68521728214962e-08,67953.62350610894
2025-08-04,610.6408767722979,8.6179058535802e-10,6662.0270563875565
2025-08-11,0.0,0.0,0.0
2025-08-18,0.0,0.0,0.0
2025-08-25,0.0,0.0,0.0
2025-09-01,0.0,0.0,0.0
2025-09-08,0.0,0.0,0.0
2025-09-15,0.0,0.0,0.0
2025-09-22,0.0,0.0,0.0
2025-09-29,0.0,0.0,0.0
2025-10-06,0.0,0.0,0.0
2025-10-13,0.0,0.0,0.0
2025-10-20,0.0,0.0,0.0
2025-10-27,0.0,0.0,0.0
2025-11-03,0.0,0.0,0.0
2025-11-10,0.0,0.0,0.0
2025-11-17,0.0,0.0,0.0
2025-11-24,0.0,0.0,0.0
2025-12-01,0.0,0.0,0.0
2025-12-08,0.0,0.0,0.0
2025-12-15,0.0,0.0,0.0
2025-12-22,0.0,0.0,0.0
2025-12-29,0.0,0.0,0.0
2026-01-05,0.0,0.0,0.0
2026-01-12,0.0,0.0,0.0
2026-01-19,0.0,0.0,0.0
2026-01-26,0.0,0.0,0.0
2026-02-02,0.0,0.0,0.0
2026-02-09,0.0,0.0,0.0
2026-02-16,0.0,0.0,0.0
2026-02-23,0.0,0.0,0.0
2026-03-02,0.0,0.0,0.0
2026-03-09,0.0,0.0,0.0
2026-03-16,0.0,0.0,0.0
2026-03-23,0.0,0.0,0.0
2026-03-30,0.0,0.0,0.0
